Cue,Target_side,Stimulus,Stimulus_X,Stimulus_Y,Cue_X,Cue_Y,Cue2_X,Cue2_Y,correctAns,feedback,Practise_loop.thisRepN,Practise_loop.thisTrialN,Practise_loop.thisN,Practise_loop.thisIndex,Main_loop.thisRepN,Main_loop.thisTrialN,Main_loop.thisN,Main_loop.thisIndex,response.keys,response.corr,response.rt,response.started,response.stopped,feedback_image.started,feedback_image.stopped,text.started,text.stopped,participant,date,expName,psychopyVersion,frameRate,
none,incogruent,Stimuli/incogruent_right.png,0,100,None,None,None,None,right,Stimuli/feedback_inc_right.png,,,,,0,6,6,104,right,1,0.5489304999937303,158.6555050999741,None,159.22223770001438,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,neutral,Stimuli/neutral_right.png,0,-100,None,None,None,None,right,Stimuli/feedback_neutral_right.png,,,,,0,7,7,76,right,1,0.5320018000202253,162.2722193999798,None,162.82227280002553,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,incogruent,Stimuli/incogruent_right.png,0,-100,0.0,-100.0,None,None,right,Stimuli/feedback_inc_right.png,,,,,0,8,8,71,left,0,0.6707204999984242,166.0055703999824,None,166.70559570001205,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,incogruent,Stimuli/incogruent_left.png,0,-100,0.0,-100.0,None,None,left,Stimuli/feedback_inc_left.png,,,,,0,9,9,64,left,1,1.478413200005889,170.00564500002656,None,171.50563199998578,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,congruent,Stimuli/congruent_left.png,0,100,0.0,100.0,None,None,left,Stimuli/feedback_con_left.png,,,,,0,10,10,49,left,1,0.518647900025826,174.60567949997494,None,175.15564970002742,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
double,incogruent,Stimuli/incogruent_left.png,0,-100,0.0,-100.0,0.0,100.0,left,Stimuli/feedback_inc_left.png,,,,,0,11,11,137,left,1,0.51477440004237,178.3056801999919,None,178.83905190002406,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,incogruent,Stimuli/incogruent_right.png,0,100,0.0,100.0,None,None,right,Stimuli/feedback_inc_right.png,,,,,0,12,12,66,right,1,0.5290506000164896,181.93908889999148,None,182.48904120002408,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,incogruent,Stimuli/incogruent_left.png,0,100,None,None,None,None,left,Stimuli/feedback_inc_left.png,,,,,0,13,13,96,left,1,0.5213669999502599,185.5390783000039,None,186.08905940002296,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
central,neutral,Stimuli/neutral_right.png,0,100,0.0,0.0,None,None,right,Stimuli/feedback_neutral_right.png,,,,,0,14,14,0,right,1,0.5175414999830537,189.22239870001795,None,189.77242499997374,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,congruent,Stimuli/congruent_left.png,0,100,0.0,100.0,None,None,left,Stimuli/feedback_con_left.png,,,,,0,15,15,48,left,1,0.4570850000018254,192.93912360002287,None,193.4224459999823,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
central,neutral,Stimuli/neutral_left.png,0,100,0.0,0.0,None,None,left,Stimuli/feedback_neutral_left.png,,,,,0,16,16,6,left,1,0.6020294000045396,196.50582299998496,None,197.1392174999928,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
central,neutral,Stimuli/neutral_left.png,0,-100,0.0,0.0,None,None,left,Stimuli/feedback_neutral_left.png,,,,,0,17,17,9,left,1,0.4610662999912165,200.23922360001598,None,200.7224779999815,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
double,incogruent,Stimuli/incogruent_right.png,0,-100,0.0,-100.0,0.0,100.0,right,Stimuli/feedback_inc_right.png,,,,,0,18,18,141,left,0,0.44221479998668656,203.9058296000003,None,204.37250170001062,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,incogruent,Stimuli/incogruent_right.png,0,100,0.0,100.0,None,None,right,Stimuli/feedback_inc_right.png,,,,,0,19,19,68,right,1,0.4455597000196576,207.4224860999966,None,207.88919650000753,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,incogruent,Stimuli/incogruent_right.png,0,-100,0.0,-100.0,None,None,right,Stimuli/feedback_inc_right.png,,,,,0,20,20,69,right,1,0.47375669999746606,211.1225346000283,None,211.62253829999827,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
